fileName,mimeTypeFile,matchFile
/media/bcadmin/Elements/xxLINK/tapes-DDS/1/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/1/file000001.dd: new-fs dump file (big endian), Previous dump Wed Dec 20 13:07:49 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/sd0a, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/9/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/9/file000002.dd: new-fs dump file (little endian), Previous dump Mon Oct 30 15:35:50 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level 3, type: tape header, Label none, Filesystem /usr, Device /dev/wd0s1f, Host metal.xxlink.nl, Flags 3,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/9/file000003.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/9/file000003.dd: new-fs dump file (little endian), Previous dump Mon Oct 30 15:43:38 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level 3, type: tape header, Label none, Filesystem /var, Device /dev/wd0s1e, Host metal.xxlink.nl, Flags 3,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/9/file000004.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/9/file000004.dd: new-fs dump file (little endian), Previous dump Mon Oct 30 15:44:52 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level 3, type: tape header, Label none, Filesystem /data, Device /dev/wd1a, Host metal.xxlink.nl, Flags 3,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/1/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/1/file000001.dd: new-fs dump file (big endian), Previous dump Sun Apr 11 18:00:56 1999, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device hourly.0, Host netapp0, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/10/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/10/file000001.dd: empty,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/11/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/11/file000001.dd: empty,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/12/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/12/file000001.dd: new-fs dump file (big endian), Previous dump Mon Dec 27 12:01:44 1999, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /vol/vol0, Device /vol/vol0/.snapshot/hourly.0, Host netapp0, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/13/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/13/file000001.dd: empty,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/14/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/14/file000001.dd: new-fs dump file (big endian), Previous dump Sun Feb 6 12:01:57 2000, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /vol/vol0, Device /vol/vol0/.snapshot/hourly.0, Host netapp0, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/2/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/2/file000001.dd: new-fs dump file (big endian), Previous dump Sun Jan 3 22:00:35 1999, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device hourly.0, Host netapp0, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/3/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/3/file000001.dd: empty,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/4/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/4/file000001.dd: new-fs dump file (big endian), Previous dump Thu Jan 27 12:02:15 2000, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /vol/vol0, Device /vol/vol0/.snapshot/hourly.0, Host netapp0, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/5/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/5/file000001.dd: empty,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/6/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/6/file000001.dd: new-fs dump file (big endian), Previous dump Thu Sep 16 12:01:13 1999, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device hourly.0, Host netapp0, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/7/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/7/file000001.dd: new-fs dump file (big endian), Previous dump Sat Oct 30 12:00:50 1999, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device hourly.0, Host netapp0, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/8/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/8/file000001.dd: empty,1
/media/bcadmin/Elements/xxLINK/tapes-DLT/9/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DLT/9/file000001.dd: empty,1
